Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish,longitude,latitude
Common beech,0101000020110F000054398C8DB25A00C1B4D79C21E4C45941,>12m Diameter,6666,Fagus sylvatica,Oxford City Area (Unparished),-133974.3191151122,6755216.525197912
Downy mespilus 'Robin Hill',0101000020110F0000BD37D599965300C1C15C83DEDDC45941,≤6m Diameter,6665,Amelanchier arborea 'Robin Hill',Oxford City Area (Unparished),-133746.8251137118,6755191.47676772
Broad-leaved cockspur thorn,0101000020110F00008193CC5DAD4A01C1F696227B60CB5941,≤6m Diameter,6605,Crataegus persimilis 'Prunifolia Splendens',Oxford City Area (Unparished),-141653.67080035436,6761857.923986187
Freeman's Maple 'Autumn Blaze',0101000020110F0000624DC91F0D4A01C18B63C5FE66CB5941,>6m ≤12m Diameter,6490,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-141633.64052067237,6761883.980797659
Silver Lime 'Brabant',0101000020110F00002C3D4EDA3D4A01C1579C807F63CB5941,>12m Diameter,6489,Tilia tomentosa 'Brabant',Oxford City Area (Unparished),-141639.73159454146,6761869.992224774
Silver Lime 'Brabant',0101000020110F000089AE08D6E94A01C17DDA33F163CB5941,>12m Diameter,6488,Tilia tomentosa 'Brabant',Oxford City Area (Unparished),-141661.22950874668,6761871.768789885
Freeman's Maple 'Autumn Blaze',0101000020110F000066B268FB774B01C1F38DA99F60CB5941,>6m ≤12m Diameter,6487,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-141678.99775828718,6761858.494723785
Redbud 'Forest Pansy',0101000020110F000074FC43C0D24B01C1E3FB05245ACB5941,>6m ≤12m Diameter,6486,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-141690.34387967328,6761832.56286523
Silver Lime 'Brabant',0101000020110F00002AAA3086024C01C10701A69B5DCB5941,>12m Diameter,6485,Tilia tomentosa 'Brabant',Oxford City Area (Unparished),-141696.31552250806,6761846.432007081
Midland Hawthorn 'Crimson Cloud',0101000020110F0000134B022E754C01C1F7FFED3C5BCB5941,≤6m Diameter,6484,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished),-141710.64746531154,6761836.952026359
Worplesdon sweet gum,0101000020110F00000CECFC32764D01C1A1BED65C52CB5941,>6m ≤12m Diameter,6482,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-141742.77489647304,6761801.450606973
Tibetan cherry,0101000020110F00002AA59BB8414E01C1C64A14474FCB5941,>6m ≤12m Diameter,6481,Prunus serrula,Oxford City Area (Unparished),-141768.2151406196,6761789.1106135305
Redbud 'Forest Pansy',0101000020110F000009F636CCC04E01C10608CA8A4DCB5941,>6m ≤12m Diameter,6480,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-141784.09971420493,6761782.1685810145
Worplesdon sweet gum,0101000020110F00001028CCE26D4F01C1B457083C4FCB5941,>6m ≤12m Diameter,6478,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-141805.7357409601,6761788.938009191
Midland Hawthorn 'Crimson Cloud',0101000020110F00001E72A7A7C84F01C1893A5C184ACB5941,≤6m Diameter,6477,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished),-141817.0818623462,6761768.38062919
Downy mespilus 'Robin Hill',0101000020110F000039065E317E5001C133C943AC47CB5941,≤6m Diameter,6476,Amelanchier arborea 'Robin Hill',Oxford City Area (Unparished),-141839.77410511838,6761758.691637325
Freeman's Maple 'Autumn Blaze',0101000020110F0000CA2E440EA75101C133DDCBB043CB5941,>6m ≤12m Diameter,6464,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-141876.8819659858,6761742.762442875
Midland Hawthorn 'Crimson Cloud',0101000020110F000016398DE16B5201C1467322D040CB5941,≤6m Diameter,6461,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished),-141901.48513264273,6761731.252102679
Redbud 'Forest Pansy',0101000020110F0000E39447FF3B5401C1E43BB8D43DCB5941,>6m ≤12m Diameter,6460,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-141959.4996482498,6761719.323744748
Silver birch,0101000020110F0000827947EFA45401C181E9651238CB5941,>6m ≤12m Diameter,6459,Betula pendula,Oxford City Area (Unparished),-141972.6168355458,6761696.287470222
Ulleung Island Rowan,0101000020110F0000F5034EDD935601C13CFBFCFF33CB5941,≤6m Diameter,6458,Sorbus commixta 'Olympic Flame',Oxford City Area (Unparished),-142034.48305895893,6761679.999815758
Worplesdon sweet gum,0101000020110F000091CAA2062D5901C19950260229CB5941,>6m ≤12m Diameter,6457,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-142117.62824018722,6761636.033588552
Redbud 'Forest Pansy',0101000020110F0000D58341C59D5901C105D09D3527CB5941,>6m ≤12m Diameter,6455,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-142131.72131636614,6761628.837757115
Rowan 'Joseph Rock',0101000020110F00007CE93AC7335A01C1DA332AD124CB5941,≤6m Diameter,6454,Sorbus 'Joseph Rock',Oxford City Area (Unparished),-142150.47228033456,6761619.268200839
Rowan 'Joseph Rock',0101000020110F00006CE9B653FB5B01C1138A6BAD1DCB5941,≤6m Diameter,6450,Sorbus 'Joseph Rock',Oxford City Area (Unparished),-142207.41587622033,6761590.709688681
Hornbeam,0101000020110F000048025122116701C165C1A2B15ACB5941,>12m Diameter,6367,Carpinus betulus,Oxford City Area (Unparished),-142562.14175607474,6761834.775558804
Broad-leaved cockspur thorn,0101000020110F0000E40EF5790A6500C1DFB50BBEA9C55941,≤6m Diameter,6365,Crataegus persimilis 'Prunifolia Splendens',Oxford City Area (Unparished),-134305.3095494426,6756006.969464748
Alder 'Imperialis',0101000020110F000007C12CA659B600C19CA2FC05B5C85941,>6m ≤12m Diameter,6299,Alnus glutinosa 'Imperialis' ,Old Marston CP,-136907.206140049,6759124.0935446285
Holm oak,0101000020110F000016DBA9D060B600C1A6138575B1C85941,>6m ≤12m Diameter,6298,Quercus ilex,Old Marston CP,-136908.10188647424,6759109.83624736
River Birch,0101000020110F0000D4FDA55E6AB600C10C5E9944AEC85941,>6m ≤12m Diameter,6297,Betula nigra,Old Marston CP,-136909.2962150412,6759097.071860801
Common beech,0101000020110F00003B9CE2BA72B600C101EEB167AAC85941,>12m Diameter,6296,Fagus sylvatica,Old Marston CP,-136910.3412525373,6759081.620234967
Small-leaved lime,0101000020110F00004AB65FE579B600C189345440A7C85941,>6m ≤12m Diameter,6295,Tilia cordata,Old Marston CP,-136911.23699896253,6759069.0051394785
Rowan 'Joseph Rock',0101000020110F00000F669A0887B600C14FADC09CA3C85941,≤6m Diameter,6294,Sorbus 'Joseph Rock',Old Marston CP,-136912.87920074209,6759054.44926007
Vilmorin's rowan,0101000020110F0000F913DEDC09A700C119598A43A7C45941,≤6m Diameter,6293,Sorbus vilmorinii,Oxford City Area (Unparished),-136417.2328454552,6754973.055319094
Redbud 'Forest Pansy',0101000020110F0000FF86A6429E4900C1CFDCC8F41FBF5941,>6m ≤12m Diameter,5612,Cercis canadensis 'Forest Pansy',Blackbird Leys CP,-133427.78254418817,6749311.824759676
Tulip tree,0101000020110F000088167A230C4A00C157FF8AB229BF5941,>12m Diameter,5610,Liriodendron tulipifera,Blackbird Leys CP,-133441.51732270815,6749350.789733729
Alder 'Imperialis',0101000020110F0000782C5B93584A00C146E8BA9732BF5941,>6m ≤12m Diameter,5608,Alnus glutinosa 'Imperialis' ,Blackbird Leys CP,-133451.0719512438,6749386.370782917
Freeman's Maple 'Autumn Blaze',0101000020110F000040273CE6BC4A00C1BEF517D63BBF5941,>6m ≤12m Diameter,5606,Acer x freemanii 'Autumn Blaze',Blackbird Leys CP,-133463.61241942085,6749423.345212398
Holm oak,0101000020110F000038B22C1EE34A00C1B978F16640BF5941,>6m ≤12m Diameter,5604,Quercus ilex,Blackbird Leys CP,-133468.38973368867,6749441.608488255
Silver birch,0101000020110F000090E7D9153C5800C12CE0965F87BF5941,>6m ≤12m Diameter,5593,Betula pendula,Blackbird Leys CP,-133895.51066952618,6749725.49358372
Purple beech,0101000020110F0000ED960653955400C12986A7F263BF5941,>6m ≤12m Diameter,5591,Fagus sylvatica atropurpurea,Blackbird Leys CP,-133778.66553991233,6749583.791474857
Spaeth's Alder,0101000020110F00009DD09693DE5400C1E684DE3967BF5941,>6m ≤12m Diameter,5589,Alnus x spaethii ,Blackbird Leys CP,-133787.82206500033,6749596.90420649
Pedunculate oak 'Select',0101000020110F00005D5D9FFE2E5500C15A9CB2266BBF5941,>6m ≤12m Diameter,5585,Quercus robur 'Select',Blackbird Leys CP,-133797.87432740154,6749612.604651535
Silver Lime 'Brabant',0101000020110F0000B1305276FF8100C1D2E0A10829C05941,>12m Diameter,5557,Tilia tomentosa 'Brabant',Littlemore CP,-135231.93277395287,6750372.1348802615
Japanese white birch 'Dakota Pinnacle',0101000020110F000022E0E0C9218B00C1E0B6628023C05941,≤6m Diameter,5556,Betula platyphylla 'Dakota Pinnacle' ,Littlemore CP,-135524.22357344726,6750350.006025046
Pedunculate oak 'Select',0101000020110F000082DE80EF9A8B00C10FD03AE71EC05941,>6m ≤12m Diameter,5554,Quercus robur 'Select',Littlemore CP,-135539.3669450172,6750331.612964644
Broad-leaved cockspur thorn,0101000020110F0000F37631131C8A00C1FFDE23BC39BF5941,≤6m Diameter,5539,Crataegus persimilis 'Prunifolia Splendens',Littlemore CP,-135491.50937169007,6749414.939689397
Japanese white birch 'Dakota Pinnacle',0101000020110F000067CA0691B48900C13D9CD9FF37BF5941,≤6m Diameter,5536,Betula platyphylla 'Dakota Pinnacle' ,Littlemore CP,-135478.57081373336,6749407.997656879
Red Maple 'October Glory',0101000020110F000064416C8F6B5000C169E08A873AC55941,>6m ≤12m Diameter,5530,Acer rubrum 'October Glory',Oxford City Area (Unparished),-133645.4450306996,6755562.117851355
River Birch,0101000020110F0000EE781F91955100C1A7DC19A5CCC45941,>6m ≤12m Diameter,5529,Betula nigra,Oxford City Area (Unparished),-133682.69586081005,6755122.5797034865
Redbud 'Forest Pansy',0101000020110F00002919DCF5015300C1C10F89CCD8C45941,>6m ≤12m Diameter,5528,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-133728.2450487104,6755171.195865572
Tibetan cherry,0101000020110F00000B15403B475300C1C9C12D3BDBC45941,>6m ≤12m Diameter,5527,Prunus serrula,Oxford City Area (Unparished),-133736.90393082084,6755180.924667784
Hupeh rowan,0101000020110F00007314D1616E5800C10742433EE2C45941,≤6m Diameter,5526,Sorbus hupehensis,Oxford City Area (Unparished),-133901.79776206947,6755208.972855098
Winter flowering cherry,0101000020110F0000C45F7A30854C00C12910BE2CFCC45941,≤6m Diameter,5522,Prunus x subhirtella 'Autumnalis',Oxford City Area (Unparished),-133520.64867091004,6755312.699100533
Red Maple 'October Glory',0101000020110F000098F08001C44D00C11384E056DDC45941,>6m ≤12m Diameter,5519,Acer rubrum 'October Glory',Oxford City Area (Unparished),-133560.50073421444,6755189.357453364
Purple beech,0101000020110F0000AFF31FFCF04400C1A5C9840EA0C45941,>6m ≤12m Diameter,5517,Fagus sylvatica atropurpurea,Risinghurst and Sandhills CP,-133278.1231078184,6754944.226854716
Silver birch,0101000020110F0000BFED7C011C4100C1EB53D20C04C05941,>6m ≤12m Diameter,5475,Betula pendula,Blackbird Leys CP,-133155.50072656383,6750224.20033739
Grey alder 'Aurea',0101000020110F00006D265AFF714100C1C11CDE3302C05941,>6m ≤12m Diameter,5474,Alnus incana 'Aurea' ,Blackbird Leys CP,-133166.24968366642,6750216.81043166
Worplesdon sweet gum,0101000020110F00004CE80F02C44100C1967F647400C05941,>6m ≤12m Diameter,5473,Liquidambar styraciflua 'Worplesdon',Blackbird Leys CP,-133176.50100690348,6750209.8186339345
River Birch,0101000020110F00007DBE9D420D4200C1F5D222DBFEBF5941,>6m ≤12m Diameter,5472,Betula nigra,Blackbird Leys CP,-133185.65752743548,6750203.424000491
Common beech,0101000020110F0000AF97AD821B4A00C139D38F9A19C05941,>12m Diameter,5454,Fagus sylvatica,Blackbird Leys CP,-133443.43880766394,6750310.415028387
Redbud 'Forest Pansy',0101000020110F00009C834586A86600C124ABDCBB5CBF5941,>6m ≤12m Diameter,5437,Cercis canadensis 'Forest Pansy',Blackbird Leys CP,-134357.06556227512,6749554.9353435375
Pedunculate oak 'Select',0101000020110F00001681DAEBAC6700C164A0FDD657BF5941,>6m ≤12m Diameter,5436,Quercus robur 'Select',Blackbird Leys CP,-134389.61516285752,6749535.359230135
Hornbeam,0101000020110F000008140EF42C6800C12F2B737455BF5941,>12m Diameter,5435,Carpinus betulus,Blackbird Leys CP,-134405.61916747713,6749525.819529339
Red maple  'Fairview Flame',0101000020110F0000F5C0A87CB76A00C199501E028BBF5941,>6m ≤12m Diameter,5433,Acer rubrum 'Fairview Flame' ,Blackbird Leys CP,-134486.9358687472,6749740.033100271
Downy mespilus 'Robin Hill',0101000020110F0000184D1C36136B00C1622B913488BF5941,≤6m Diameter,5432,Amelanchier arborea 'Robin Hill',Blackbird Leys CP,-134498.40142116765,6749728.821360441
River Birch,0101000020110F0000D3A18A0F8C6500C1A8BECA00D5BF5941,>6m ≤12m Diameter,5426,Betula nigra,Blackbird Leys CP,-134321.50758863855,6750036.012374558
Red maple 'Brandywine',0101000020110F0000EF7B23FF8B6400C1B8C5DCB7DEBF5941,>6m ≤12m Diameter,5423,Acer rubrum 'Brandywine' ,Blackbird Leys CP,-134289.49957939933,6750074.872849874
Redbud 'Forest Pansy',0101000020110F0000BE204DB1BB6800C1F1ABEC7BE2BF5941,>6m ≤12m Diameter,5422,Cercis canadensis 'Forest Pansy',Blackbird Leys CP,-134423.46157289104,6750089.936320291
Red Maple 'October Glory',0101000020110F00004B1B8F79136800C15602664DF4BF5941,>6m ≤12m Diameter,5421,Acer rubrum 'October Glory',Blackbird Leys CP,-134402.43435498545,6750161.209351143
Holm oak,0101000020110F0000F6C3FC77C16700C15F1146EBF7BF5941,>6m ≤12m Diameter,5419,Quercus ilex,Blackbird Leys CP,-134392.18358758063,6750175.6761516025
Worplesdon sweet gum,0101000020110F0000975C4EF4165800C11D27820FBEBF5941,>6m ≤12m Diameter,5418,Liquidambar styraciflua 'Worplesdon',Blackbird Leys CP,-133890.86929008804,6749944.242318896
Downy mespilus 'Robin Hill',0101000020110F0000204AE0A1594D00C16148529166C05941,≤6m Diameter,5417,Amelanchier arborea 'Robin Hill',Blackbird Leys CP,-133547.20404107962,6750618.270647139
Pedunculate oak 'Select',0101000020110F000057149E77F84200C1AC9FE1BA7AC05941,>12m Diameter,5414,Quercus robur 'Select',Blackbird Leys CP,-133215.05840698138,6750698.920020979
Silver Lime 'Brabant',0101000020110F00002C73D72A6A4300C1C4F877587AC05941,>12m Diameter,5413,Tilia tomentosa 'Brabant',Blackbird Leys CP,-133229.27091875055,6750697.382322494
Holm oak,0101000020110F00005FD6273F964500C1778FB83A78C05941,>6m ≤12m Diameter,5412,Quercus ilex,Blackbird Leys CP,-133298.78083770254,6750688.917514673
Hornbeam,0101000020110F0000CC3101CBF54500C184AAD6F777C05941,>12m Diameter,5410,Carpinus betulus,Blackbird Leys CP,-133310.7241233721,6750687.8724771775
Red maple 'Brandywine',0101000020110F00006CDA209EA64700C18ECCB34D76C05941,>6m ≤12m Diameter,5408,Acer rubrum 'Brandywine' ,Blackbird Leys CP,-133364.82721110003,6750681.214099063
Silver Lime 'Brabant',0101000020110F00008CE5CEF0F64800C1A119441575C05941,>12m Diameter,5407,Tilia tomentosa 'Brabant',Blackbird Leys CP,-133406.86758212408,6750676.332281501
Japanese white birch 'Dakota Pinnacle',0101000020110F00008FA0DFBA965900C1CE8D7877C5BF5941,≤6m Diameter,5404,Betula platyphylla 'Dakota Pinnacle' ,Blackbird Leys CP,-133938.8412468475,6749973.866733028
Silver Lime 'Brabant',0101000020110F000041052AF88D5500C1E9947F43D5BF5941,>12m Diameter,5402,Tilia tomentosa 'Brabant',Blackbird Leys CP,-133809.7461738978,6750037.054661968
Hornbeam,0101000020110F00000A6293B5465F00C1689A4AEF1EC05941,>12m Diameter,5396,Carpinus betulus,Blackbird Leys CP,-134120.83866001695,6750331.738928415
Freeman's Maple 'Autumn Blaze',0101000020110F0000BD9A9A9426A300C1D4DD8CF855C05941,>6m ≤12m Diameter,5391,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-136292.82256050958,6750551.88359781
California redwood,0101000020110F00001FC147B0CBA200C149FFE5FD54C05941,>6m ≤12m Diameter,5390,Sequioa sempervirens,Oxford City Area (Unparished),-136281.46107436062,6750547.9671629155
Worplesdon sweet gum,0101000020110F0000465EA7314AA900C1D193E4D793C05941,>12m Diameter,5388,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-136489.27424501086,6750799.373326258
Small-leaved lime,0101000020110F000036F77208F1A700C15BBD2CEA95C05941,>6m ≤12m Diameter,5387,Tilia cordata,Oxford City Area (Unparished),-136446.1291255296,6750807.658980693
Alder 'Imperialis',0101000020110F0000A6CEB3D05CAD00C142E69F94B5C05941,>6m ≤12m Diameter,5386,Alnus glutinosa 'Imperialis' ,Oxford City Area (Unparished),-136619.60190545506,6750934.322259488
Pedunculate oak 'Select',0101000020110F00009A32FA9B94AB00C12A6A8455B9C05941,>6m ≤12m Diameter,5383,Quercus robur 'Select',Oxford City Area (Unparished),-136562.57616080792,6750949.336206952
River Birch,0101000020110F000083E9C90D1AA700C1707E5CAAB6C05941,>6m ≤12m Diameter,5382,Betula nigra,Oxford City Area (Unparished),-136419.25673277312,6750938.661895379
Red Maple 'October Glory',0101000020110F0000E095E108A3A500C1354F78EC9BC05941,>6m ≤12m Diameter,5381,Acer rubrum 'October Glory',Oxford City Area (Unparished),-136372.3793365201,6750831.694843103
Japanese white birch 'Dakota Pinnacle',0101000020110F0000E9626184BB5200C190B421CDD7BE5941,≤6m Diameter,5373,Betula platyphylla 'Dakota Pinnacle' ,Blackbird Leys CP,-133719.43963887476,6749023.20518221
Ulleung Island Rowan,0101000020110F0000B93260EE5B5200C156B7F72CCBBE5941,≤6m Diameter,5372,Sorbus commixta 'Olympic Flame',Blackbird Leys CP,-133707.49139442088,6748972.702619394
Broad-leaved cockspur thorn,0101000020110F00009BA8D3B03C5C00C1936DBCB5A5BE5941,≤6m Diameter,5364,Crataegus persimilis 'Prunifolia Splendens',Blackbird Leys CP,-134023.58634120677,6748822.839625734
Redbud 'Forest Pansy',0101000020110F00002804D6287F5D00C1020CFF2DA4BE5941,>6m ≤12m Diameter,5362,Cercis canadensis 'Forest Pansy',Blackbird Leys CP,-134063.89493945357,6748816.718691828
Downy mespilus 'Robin Hill',0101000020110F00005163F08A3E5A00C159CF59C9A0BE5941,≤6m Diameter,5359,Amelanchier arborea 'Robin Hill',Blackbird Leys CP,-133959.81784131614,6748803.146106564
Worplesdon sweet gum,0101000020110F000008AD382D595A01C16441B82220CB5941,>6m ≤12m Diameter,4823,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-142155.14708075696,6761600.542496059
Silver birch,0101000020110F0000C7BD808F88BE00C1AA92D9AA9DC35941,>6m ≤12m Diameter,4763,Betula pendula,Oxford City Area (Unparished),-137169.07006977333,6753910.669529596
Red maple 'Brandywine',0101000020110F00005BB7E7F24CC900C1CEA68A8859C35941,>6m ≤12m Diameter,4761,Acer rubrum 'Brandywine' ,Oxford City Area (Unparished),-137513.61860602614,6753638.133462621
Hornbeam,0101000020110F00000D8C1C5CE49901C1B8F4EA7773CA5941,>12m Diameter,4699,Carpinus betulus,Oxford City Area (Unparished),-144188.54497632422,6760909.873715572
California redwood,0101000020110F0000EEC51E588D6701C15ADF97EE57CB5941,>6m ≤12m Diameter,4698,Sequioa sempervirens,Oxford City Area (Unparished),-142577.66802744515,6761823.72801956
Silver birch,0101000020110F0000AB0A7163AD6801C120B2474B4ECB5941,>12m Diameter,4697,Betula pendula,Oxford City Area (Unparished),-142613.67355545363,6761785.176250964
Paperbark maple,0101000020110F00007DDA30A2B98301C1F885F40AB7CA5941,≤6m Diameter,4662,Acer griseum,Oxford City Area (Unparished),-143479.2041947431,6761180.171174519
Downy mespilus 'Robin Hill',0101000020110F0000E2918A51AD9100C108B2B50A90BF5941,≤6m Diameter,3817,Amelanchier arborea 'Robin Hill',Littlemore CP,-135733.66481508227,6749760.167339809
River Birch,0101000020110F0000E61ED1ECE29000C1224083518BBF5941,>6m ≤12m Diameter,3813,Betula nigra,Littlemore CP,-135708.36563324108,6749741.273635896
Midland Hawthorn 'Crimson Cloud',0101000020110F00000C10A5FAE19700C1A72E9AB297BF5941,≤6m Diameter,3809,Crataegus laevigata 'Crimson Cloud' ,Littlemore CP,-135932.24738514458,6749790.790660537
Japanese white birch 'Dakota Pinnacle',0101000020110F0000245D7A75759900C1ACC0E78F9BBF5941,≤6m Diameter,3807,Betula platyphylla 'Dakota Pinnacle' ,Littlemore CP,-135982.68236229673,6749806.248520058
Winter flowering cherry,0101000020110F00005F874D0EC79A00C163541177A5BF5941,≤6m Diameter,3803,Prunus x subhirtella 'Autumnalis',Littlemore CP,-136024.88198381194,6749845.860432717
Worplesdon sweet gum,0101000020110F00003FBC41EC520001C15487021C3EC25941,>6m ≤12m Diameter,3059,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-139274.3653597552,6752504.437654335
Redbud 'Forest Pansy',0101000020110F0000E5275DF5744500C19F220F09FCC45941,>6m ≤12m Diameter,2685,Cercis canadensis 'Forest Pansy',Risinghurst and Sandhills CP,-133294.6198065869,6755312.141548782
